trip_id,departure_time,arrival_time,stop_id,stop_sequence
fg:1,15:45:06,15:45:06,de:08436:8049,2
fg:1,15:47:15,15:47:15,osm:w34913296,3
fg:1,15:47:53,15:47:53,osm:n656629418,4
fg:1,15:49:39,15:49:39,osm:w149368296,5
fg:1,15:51:56,15:51:56,osm:w163026769,7
fg:1,15:52:37,15:52:37,osm:n301892991,8
fg:1,15:54:24,15:54:24,osm:w323660404,9
fg:1,15:59:03,15:59:03,de:08436:48152,10
fg:1,16:00:30,16:00:30,de:08436:1142,11
fg:1,16:08:03,16:08:03,de:08436:91291,12
fg:1,16:17:06,16:17:06,de:08426:6157,13
fg:1,16:23:57,16:23:57,de:08426:6392,14
fg:1,16:25:19,16:25:19,de:08426:6388,15
fg:1,16:27:22,16:27:22,de:08426:6379,16
fg:1,16:30:25,16:30:25,de:08426:6566,17
fg:1,16:30:47,16:30:47,de:08426:6565,18
fg:1,16:32:26,16:32:26,de:08426:6570,19
fg:1,16:33:20,16:33:20,de:08426:6559,20
fg:1,16:33:54,16:33:54,tmp-1,22
fg:2,17:00:48,17:00:48,de:08436:8126,2
fg:2,17:03:16,17:03:16,osm:w163026769,4
fg:2,17:03:57,17:03:57,osm:n301892991,5
fg:2,17:05:45,17:05:45,osm:w323660404,6
fg:2,17:10:23,17:10:23,de:08436:48152,7
fg:2,17:11:50,17:11:50,de:08436:1142,8
fg:2,17:19:23,17:19:23,de:08436:91291,9
fg:2,17:28:26,17:28:26,de:08426:6157,10
fg:2,17:31:40,17:31:40,de:08426:6178,11
fg:2,17:32:11,17:32:11,de:08426:6134,12
fg:2,17:32:37,17:32:37,de:08426:6084,13
fg:2,17:33:18,17:33:18,de:08426:6132,17
fg:2,17:33:45,17:33:45,tmp-2,19
fg:3,16:15:49,16:15:49,de:09763:376,3
fg:3,16:16:18,16:16:18,de:09763:612,4
fg:3,16:16:26,16:16:26,de:09763:31,5
fg:3,16:16:57,16:16:57,de:09763:611,6
fg:3,16:17:18,16:17:18,de:09763:610,7
fg:3,16:17:30,16:17:30,de:09763:281,8
fg:3,16:17:35,16:17:35,de:09763:649,9
fg:3,16:18:08,16:18:08,de:09763:642,10
fg:3,16:19:09,16:19:09,de:09763:606,11
fg:3,16:19:43,16:19:43,de:09763:697,12
fg:3,16:20:14,16:20:14,de:09763:698,13
fg:3,16:20:30,16:20:30,de:09763:2430,14
fg:3,16:21:05,16:21:05,de:09763:101,16
fg:3,16:21:32,16:21:32,de:09763:102,17
fg:3,16:22:04,16:22:04,de:09763:103,18
fg:3,16:22:29,16:22:29,de:09780:104,19
fg:3,16:23:10,16:23:10,de:09780:105,20
fg:3,16:26:00,16:26:00,de:09780:519,21
fg:3,16:27:28,16:27:28,de:09780:594,22
fg:3,16:27:41,16:27:41,de:09780:522,23
fg:3,16:36:49,16:36:49,de:09780:802,24
fg:3,16:37:16,16:37:16,tmp-3,25
fg:4,06:00:08,06:00:08,de:08436:1266,2
fg:4,06:00:52,06:00:52,de:08436:41,3
fg:4,06:02:27,06:02:27,de:08436:48786,4
fg:4,06:03:32,06:03:32,de:08436:48787,5
fg:4,06:05:14,06:05:14,de:08436:1310,6
fg:4,06:07:48,06:07:48,de:08436:1338,7
fg:4,06:10:56,06:10:56,de:08436:8565,8
fg:4,06:16:46,06:16:46,de:09776:1853,10
fg:4,06:19:33,06:19:33,de:09776:1601,11
fg:4,06:32:17,06:32:17,de:08435:44153,12
fg:4,06:33:02,06:33:02,de:08435:4153,13
fg:4,06:33:08,06:33:08,de:08435:44152,14
fg:4,06:33:33,06:33:33,de:08435:44151,15
fg:4,06:34:05,06:34:05,de:08435:4220,17
fg:4,06:34:48,06:34:48,de:08435:4100,18
fg:4,06:35:00,06:35:00,osm:w428469290,19
fg:4,06:35:27,06:35:27,de:08435:4043,20
fg:4,06:36:11,06:36:11,de:08435:4186,21
fg:4,06:36:50,06:36:50,de:08435:44690,22
fg:4,06:37:03,06:37:03,tmp-4,23
fg:5,07:17:38,07:17:38,de:08436:44,3
fg:5,07:21:46,07:21:46,de:08436:8581,4
fg:5,07:22:17,07:22:17,de:08436:8580,5
fg:5,07:22:51,07:22:51,de:08436:8593,6
fg:5,07:23:11,07:23:11,de:08436:8577,7
fg:5,07:27:15,07:27:15,de:09776:1157,8
fg:5,07:27:23,07:27:23,de:09776:2175,9
fg:5,07:27:45,07:27:45,de:09776:2177,10
fg:5,07:28:25,07:28:25,de:09776:1202,11
fg:5,07:28:59,07:28:59,de:09776:1756,12
fg:5,07:30:25,07:30:25,de:09776:2192,13
fg:5,07:32:25,07:32:25,de:09776:1502,14
fg:5,07:33:42,07:33:42,de:09776:1754,15
fg:5,07:34:20,07:34:20,de:09776:1755,16
fg:5,07:34:41,07:34:41,tmp-5,17
