stop_id,stop_lat,stop_lon,stop_name
tmp-87,49.9833919,10.2161574,Röthlein
de:09675:29316,49.801002,10.16097,Dettelbach Am Bach
de:09675:29318,49.800335,10.160099,Dettelbach Altstadt Süd
de:09675:29648,49.776487,10.152077,"Mainstockheim Ebracher Hof,Mainstockheim"
de:09675:29657,49.772966,10.151906,"Mainstockheim Ortsmitte,Mainstockheim"
de:09675:29656,49.766793,10.151286,"Mainstockheim Am Haselberg,Mainstockheim"
de:09675:29655,49.739114,10.16115,Kitzingen Rathaus
tmp-88,49.7339751,10.161216,Kitzingen
de:09675:29254,49.866315,10.165731,Abzw. Vogelsburg
de:09679:99007,49.869378,10.15726,ST 2260 Weißes Haus
de:09679:4049,49.868961,10.151511,Untereisenheim Abzweig
de:09679:3279,49.863558,10.128649,Prosselsheim Amtskeller
de:09679:4031,49.895333,10.069539,Bergtheim Schule
de:09679:4030,49.897474,10.067186,Bergtheim Ortsmitte
de:09679:3159,49.919035,10.027399,Hausen Abzweig Fährbrück
de:09679:3161,49.924917,10.026744,Hausen Petrinistraße
tmp-89,49.9270599,10.0264921,Hausen bei Würzburg
de:09673:6985,50.320948,10.213746,Bad Neustadt Hohntor
de:09673:27004,50.319726,10.206272,Bad Neustadt Schweinfurter Str.
osm:w369548018,50.25013215000001,10.1890208,P+R-Parkplatz
de:09672:27007,50.221014,10.124184,Nüdlingen Rathaus
de:09672:27341,50.218715,10.117914,Nüdlingen Kissinger Str./Riedweg
de:09672:27618,50.206114,10.099139,Winkels Münnerstädter Str.
de:09672:27009,50.203423,10.090632,Bad Kissingen Postgarage
de:09672:27661,50.204177,10.081541,Bad Kissingen Gymn./Realschule
de:09672:8162,50.203975,10.081029,Bad Kissingen Maxstraße/Realsch.
osm:w302276360,50.20201889080779,10.078595178309634,P6 Parkplatz Zentrum
de:09672:75171,50.201399,10.074759,"Bad Kissingen, Klieglplatz"
de:09672:25860,50.198852,10.075432,Bad Kissingen Theresienstraße
tmp-90,50.1983954,10.0750993,Bad Kissingen
de:09678:27198,49.984622,10.31407,Grettstadt Gh. Straub
de:09678:27197,49.986805,10.311501,Grettstadt Gochsheimer Str.
de:09678:29053,50.016218,10.285099,Gochsheim Südost
de:09678:27190,50.019098,10.282485,Gochsheim Mitte
de:09572:6256,49.711077,10.903032,Adelsdorf (ERH) Ev. Gemeindez.
de:09474:9522,49.706842,10.977988,Oesdorf Kirche
de:09474:9477,49.707109,11.006204,Wimmelbach (Hausen) Sportpl.
de:09474:9472,49.705035,11.011037,Wimmelbach (Hausen) A.Poststr.
de:09474:9014,49.704582,11.067083,Forchheim Abzw. Augraben
de:09474:9081,49.709718,11.06746,Forchheim Steinbühlstr.
osm:w35202541,49.71640515817853,11.0696332585302,P+R-Parkplatz
de:09474:9048,49.717948,11.067738,Forchheim Eisenbahnstr.
de:09474:9065,49.71814,11.065025,Forchheim Klosterstr.
de:09474:9091,49.718262,11.061666,Forchh. Paradepl./Cafe Schmitt
tmp-91,49.7186937,11.0596433,Forchheim
de:09674:75255,50.093194,10.794731,"Ebern, Marktplatz"
de:09674:17040,50.090421,10.854137,Abzw Gleusdorf
